Sentence ID,Source (Burmese),Reference (English),Model Prediction (English),Fluency (1-5),Adequacy (1-5),Comments
1,"[INSERT_BPE_SOURCE]","[INSERT_REF]","[INSERT_PRED]",,,
2,"[INSERT_BPE_SOURCE]","[INSERT_REF]","[INSERT_PRED]",,,
3,"[INSERT_BPE_SOURCE]","[INSERT_REF]","[INSERT_PRED]",,,
4,"[INSERT_BPE_SOURCE]","[INSERT_REF]","[INSERT_PRED]",,,
5,"[INSERT_BPE_SOURCE]","[INSERT_REF]","[INSERT_PRED]",,,
6,"[INSERT_BPE_SOURCE]","[INSERT_REF]","[INSERT_PRED]",,,
7,"[INSERT_BPE_SOURCE]","[INSERT_REF]","[INSERT_PRED]",,,
8,"[INSERT_BPE_SOURCE]","[INSERT_REF]","[INSERT_PRED]",,,
9,"[INSERT_BPE_SOURCE]","[INSERT_REF]","[INSERT_PRED]",,,
10,"[INSERT_BPE_SOURCE]","[INSERT_REF]","[INSERT_PRED]",,,
,,,,,,
INSTRUCTIONS:,,,,,,
"Fluency (1-5): How natural and grammatically correct does the English prediction sound? (1 = Incomprehensible, 5 = Flawless English)",,,,,,
"Adequacy (1-5): How much of the meaning from the reference is preserved in the prediction? (1 = None, 5 = All meaning preserved)",,,,,,
